book,chapter,verse,subtitle,text,source_url
hechos,1,1,La promesa del Espíritu Santo,"En el primer tratado, oh Teófilo, hablé acerca de todas las cosas que Jesús comenzó a hacer y a enseñar,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60
hechos,1,2,La promesa del Espíritu Santo,"hasta el día en que fue recibido arriba, después de haber dado mandamientos por el Espíritu Santo a los apóstoles que había escogido;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60
hechos,1,3,La promesa del Espíritu Santo,"a quienes también, después de haber padecido, se presentó vivo con muchas pruebas indubitables, apareciéndoseles durante cuarenta días y hablándoles acerca del reino de Dios.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60
hechos,1,4,La promesa del Espíritu Santo,"Y estando juntos, les mandó que no se fueran de Jerusalén, sino que esperasen la promesa del Padre, la cual, les dijo, oísteis de mí.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60
hechos,1,5,La promesa del Espíritu Santo,"Porque Juan ciertamente bautizó con agua, mas vosotros seréis bautizados con el Espíritu Santo dentro de no muchos días.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60
hechos,1,6,La ascensión,"Entonces los que se habían reunido le preguntaron, diciendo: Señor, ¿restaurarás el reino a Israel en este tiempo?",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60
hechos,1,7,La ascensión,"Y les dijo: No os toca a vosotros saber los tiempos o las sazones, que el Padre puso en su sola potestad;",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60
hechos,1,8,La ascensión,"pero recibiréis poder, cuando haya venido sobre vosotros el Espíritu Santo, y me seréis testigos en Jerusalén, en toda Judea, en Samaria, y hasta lo último de la tierra.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60
hechos,1,9,La ascensión,"Y habiendo dicho estas cosas, viéndolo ellos, fue alzado, y le recibió una nube que le ocultó de sus ojos.",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60
hechos,1,10,La ascensión,"Y estando ellos con los ojos puestos en el cielo, entre tanto que él se iba, he aquí se pusieron junto a ellos dos varones con vestiduras blancas,",https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60
