id,verse_id,label
0,luke_11_9,joy
1,2_corinthians_13_12,joy
2,ezekiel_14_19,anger
3,exodus_31_6,neutral
4,psalms_63_7,joy
5,psalms_68_10,joy
6,romans_2_7,joy
7,1_kings_17_16,joy
8,judges_20_18,neutral
9,numbers_15_34,neutral
10,psalms_56_8,sadness
11,job_34_20,fear
12,leviticus_27_30,neutral
13,matthew_26_48,anger
14,ezekiel_27_3,surprise
15,mark_13_5,fear
16,psalms_150_4,joy
17,joshua_7_7,sadness
18,luke_11_43,anger
19,numbers_10_21,neutral
20,jeremiah_14_1,sadness
21,ezekiel_25_3,anger
22,jeremiah_6_22,fear
23,genesis_17_15,surprise
24,numbers_34_10,neutral
25,mark_1_37,surprise
26,daniel_8_23,fear
27,psalms_88_11,sadness
28,job_39_27,surprise
29,judges_21_9,surprise
30,1_kings_18_4,fear
31,ezekiel_41_3,neutral
32,ecclesiastes_10_6,disgust
33,genesis_15_9,neutral
34,proverbs_6_5,fear
35,jeremiah_6_26,sadness
36,genesis_21_3,joy
37,john_7_4,neutral
38,numbers_26_55,neutral
39,ezra_5_8,joy
40,deuteronomy_1_25,joy
41,psalms_18_49,joy
42,numbers_5_29,disgust
43,john_10_36,anger
44,psalms_102_3,sadness
45,numbers_2_4,neutral
46,matthew_9_4,disgust
47,isaiah_50_4,joy
48,job_6_7,disgust
49,jeremiah_23_1,anger
50,1_chronicles_6_18,neutral
51,ezekiel_23_2,neutral
52,esther_1_6,neutral
53,john_1_44,neutral
54,isaiah_44_6,joy
55,genesis_49_33,sadness
56,job_39_10,surprise
57,job_5_10,joy
58,jeremiah_50_46,fear
59,zephaniah_3_1,disgust
60,jonah_3_4,fear
61,matthew_1_17,neutral
62,2_kings_22_12,neutral
63,2_chronicles_2_9,joy
64,1_kings_18_23,neutral
65,numbers_7_31,neutral
66,colossians_2_2,joy
67,genesis_15_20,neutral
68,ruth_2_20,joy
69,ezra_6_12,anger
70,2_samuel_6_12,joy
71,2_kings_19_18,anger
72,exodus_5_2,anger
73,deuteronomy_10_12,joy
74,genesis_40_15,sadness
75,numbers_11_30,neutral
76,2_samuel_21_8,neutral
77,leviticus_18_25,disgust
78,1_samuel_25_25,disgust
79,luke_9_19,neutral
80,leviticus_10_9,fear
81,luke_8_4,neutral
82,ecclesiastes_8_7,fear
83,revelation_3_1,sadness
84,zechariah_2_4,joy
85,deuteronomy_11_27,joy
86,proverbs_20_20,anger
87,zephaniah_2_15,sadness
88,numbers_13_17,neutral
89,numbers_31_11,neutral
90,2_samuel_18_22,surprise
91,jeremiah_22_1,neutral
92,1_chronicles_16_5,joy
93,isaiah_5_24,anger
94,1_samuel_16_20,neutral
95,1_kings_18_29,sadness
96,acts_9_41,joy
97,psalms_32_10,sadness
98,jeremiah_49_30,fear
99,acts_4_31,joy
100,jeremiah_46_19,sadness
101,john_8_39,anger
102,deuteronomy_19_3,neutral
103,genesis_10_16,neutral
104,mark_1_1,joy
105,genesis_14_1,neutral
106,ezekiel_17_19,anger
107,romans_2_23,disgust
108,john_5_28,surprise
109,psalms_78_56,anger
110,romans_15_10,joy
111,nehemiah_4_10,sadness
112,ezekiel_10_3,neutral
113,psalms_9_1,joy
114,romans_6_18,joy
115,1_chronicles_23_30,joy
116,joshua_22_33,joy
117,acts_7_37,neutral
118,genesis_11_21,neutral
119,job_3_11,sadness
120,judges_9_43,anger
121,judges_15_19,joy
122,job_21_33,sadness
123,isaiah_45_21,joy
124,numbers_5_27,disgust
125,hosea_9_7,anger
126,acts_8_33,sadness
127,matthew_14_19,joy
128,genesis_3_7,surprise
129,job_9_9,neutral
130,ezra_8_25,neutral
131,mark_10_41,anger
132,jeremiah_30_11,neutral
133,psalms_33_4,joy
134,joshua_2_5,fear
135,ezra_2_20,neutral
136,psalms_84_12,joy
137,joshua_14_14,joy
138,judges_13_14,neutral
139,1_kings_17_15,joy
140,hebrews_11_35,surprise
141,ecclesiastes_10_10,neutral
142,jeremiah_8_2,disgust
143,isaiah_57_20,sadness
144,1_samuel_16_23,joy
145,proverbs_28_28,fear
146,james_5_19,neutral
147,psalms_29_6,joy
148,psalms_76_6,surprise
149,isaiah_2_5,joy
150,1_samuel_29_3,neutral
151,jeremiah_4_17,anger
152,2_kings_12_13,neutral
153,1_corinthians_4_8,disgust
154,john_10_27,joy
155,numbers_4_9,neutral
156,zechariah_12_7,joy
157,1_kings_16_10,anger
158,ezekiel_16_37,disgust
159,exodus_38_21,neutral
160,1_kings_1_12,fear
161,2_kings_9_35,surprise
162,jeremiah_46_1,anger
163,john_7_5,sadness
164,leviticus_16_29,sadness
165,exodus_39_10,neutral
166,acts_14_8,sadness
167,psalms_50_19,anger
168,isaiah_28_3,disgust
169,deuteronomy_3_28,joy
170,1_chronicles_13_6,joy
171,luke_8_28,fear
172,romans_5_18,joy
173,psalms_28_8,joy
174,proverbs_18_12,neutral
175,genesis_11_22,neutral
176,1_chronicles_24_31,neutral
177,1_kings_19_12,surprise
178,hebrews_11_11,joy
179,psalms_37_16,joy
180,1_samuel_10_4,joy
181,2_kings_13_8,neutral
182,exodus_36_4,neutral
183,matthew_4_4,neutral
184,esther_4_1,sadness
185,1_corinthians_14_13,neutral
186,nehemiah_5_17,neutral
187,ecclesiastes_5_17,sadness
188,ezekiel_29_6,surprise
189,job_32_19,surprise
190,proverbs_24_33,neutral
191,numbers_15_37,neutral
192,1_kings_22_21,surprise
193,deuteronomy_28_3,joy
194,genesis_18_7,joy
195,2_chronicles_34_16,neutral
196,deuteronomy_13_14,disgust
197,nehemiah_12_23,neutral
198,2_chronicles_1_9,joy
199,amos_1_15,sadness
200,romans_14_13,neutral
201,leviticus_6_12,neutral
202,romans_16_9,joy
203,ezekiel_37_19,joy
204,deuteronomy_20_3,fear
205,matthew_17_9,surprise
206,romans_6_1,neutral
207,isaiah_21_17,sadness
208,jeremiah_6_14,sadness
209,numbers_10_20,neutral
210,1_samuel_14_13,anger
211,jeremiah_36_6,neutral
212,john_10_31,anger
213,exodus_11_1,anger
214,ezekiel_46_6,neutral
215,amos_8_9,surprise
216,exodus_29_15,neutral
217,genesis_27_4,joy
218,judges_10_4,neutral
219,ezekiel_39_10,anger
220,2_samuel_19_8,neutral
221,1_peter_4_1,neutral
222,judges_18_16,neutral
223,ecclesiastes_11_1,neutral
224,ezekiel_33_13,anger
225,ezekiel_21_8,neutral
226,2_chronicles_32_9,fear
227,luke_17_2,anger
228,1_kings_9_2,surprise
229,ezekiel_9_5,anger
230,deuteronomy_12_23,neutral
231,hebrews_13_9,neutral
232,2_kings_19_16,anger
233,john_4_33,surprise
234,1_corinthians_1_27,surprise
235,matthew_23_13,anger
236,revelation_14_7,fear
237,isaiah_51_22,joy
238,psalms_38_7,disgust
239,ephesians_5_14,joy
240,jeremiah_18_10,anger
241,deuteronomy_1_33,neutral
242,micah_1_3,fear
243,job_3_7,sadness
244,mark_5_17,anger
245,nehemiah_7_51,neutral
246,esther_2_16,surprise
247,psalms_51_6,neutral
248,joshua_18_11,neutral
249,hebrews_10_6,disgust
250,ezekiel_20_32,anger
251,2_kings_9_7,anger
252,leviticus_6_29,neutral
253,deuteronomy_4_43,neutral
254,genesis_9_3,neutral
255,acts_20_37,sadness
256,matthew_15_12,anger
257,daniel_2_48,joy
258,1_kings_11_25,anger
259,job_33_11,sadness
260,psalms_92_15,joy
261,1_samuel_9_24,joy
262,daniel_11_25,fear
263,mark_8_21,disgust
264,romans_1_5,joy
265,2_kings_19_1,sadness
266,job_30_28,sadness
267,3_john_1_10,anger
268,numbers_33_10,neutral
269,psalms_38_15,joy
270,esther_8_12,neutral
271,numbers_14_7,joy
272,2_kings_5_22,neutral
273,acts_7_32,fear
274,1_chronicles_7_9,neutral
275,jeremiah_28_11,neutral
276,isaiah_37_20,joy
277,1_thessalonians_3_8,joy
278,1_kings_18_7,surprise
279,isaiah_41_27,joy
280,psalms_119_77,joy
281,joel_1_7,sadness
282,matthew_5_42,joy
283,numbers_14_14,surprise
284,2_chronicles_31_16,neutral
285,isaiah_49_8,joy
286,1_chronicles_24_8,neutral
287,john_1_27,sadness
288,1_chronicles_2_3,anger
289,numbers_4_42,neutral
290,numbers_9_10,neutral
291,2_chronicles_4_8,neutral
292,isaiah_49_19,joy
293,leviticus_15_8,disgust
294,1_samuel_30_31,neutral
295,2_corinthians_6_18,joy
296,1_samuel_2_28,neutral
297,numbers_7_53,neutral
298,acts_7_14,joy
299,psalms_115_4,disgust
300,1_chronicles_12_27,neutral
301,2_chronicles_31_18,neutral
302,isaiah_9_21,anger
303,2_kings_4_11,neutral
304,2_kings_17_11,anger
305,exodus_16_4,joy
306,psalms_94_23,anger
307,joshua_13_25,neutral
308,zechariah_12_8,joy
309,2_chronicles_11_12,neutral
310,2_corinthians_13_14,joy
311,matthew_26_20,neutral
312,james_1_25,joy
313,joshua_9_10,neutral
314,colossians_1_18,joy
315,1_samuel_12_19,fear
316,daniel_9_2,neutral
317,proverbs_21_20,neutral
318,jeremiah_12_3,anger
319,deuteronomy_4_36,neutral
320,daniel_2_30,neutral
321,joshua_4_14,fear
322,1_chronicles_26_12,neutral
323,hebrews_7_26,joy
324,2_kings_6_18,surprise
325,1_kings_22_4,neutral
326,numbers_1_49,neutral
327,joshua_21_37,neutral
328,psalms_103_15,sadness
329,romans_4_5,joy
330,revelation_22_7,joy
331,jeremiah_45_5,fear
332,1_timothy_4_2,disgust
333,isaiah_43_7,joy
334,joshua_7_13,anger
335,exodus_30_1,neutral
336,acts_2_9,neutral
337,jeremiah_46_21,fear
338,deuteronomy_32_34,neutral
339,ezekiel_18_18,disgust
340,1_samuel_1_10,sadness
341,1_peter_3_22,joy
342,1_chronicles_17_21,joy
343,2_kings_13_6,anger
344,1_chronicles_26_2,neutral
345,exodus_13_12,neutral
346,john_3_11,sadness
347,1_samuel_2_13,neutral
348,1_samuel_6_13,joy
349,2_kings_6_21,surprise
350,genesis_11_15,neutral
351,numbers_3_48,neutral
352,luke_12_28,joy
353,isaiah_40_14,neutral
354,2_peter_1_5,joy
355,mark_5_27,joy
356,1_samuel_14_8,neutral
357,genesis_37_36,sadness
358,1_corinthians_12_4,joy
359,exodus_34_25,neutral
360,matthew_27_50,sadness
361,1_kings_4_19,neutral
362,proverbs_1_7,fear
363,genesis_14_9,neutral
364,exodus_18_5,neutral
365,1_samuel_24_3,neutral
366,ephesians_1_18,joy
367,proverbs_7_7,disgust
368,luke_21_36,fear
369,genesis_17_18,joy
370,john_11_31,sadness
371,acts_13_45,anger
372,2_kings_3_5,anger
373,1_kings_2_32,anger
374,song_of_solomon_8_13,joy
375,acts_8_8,joy
376,jeremiah_25_18,sadness
377,romans_11_5,joy
378,acts_10_44,surprise
379,numbers_6_22,neutral
380,deuteronomy_16_13,joy
381,john_5_13,surprise
382,numbers_35_10,neutral
383,1_samuel_23_28,neutral
384,exodus_8_2,anger
385,hebrews_13_23,joy
386,deuteronomy_28_67,fear
387,luke_24_36,surprise
388,jude_1_20,joy
389,genesis_26_13,joy
390,numbers_19_5,neutral
391,daniel_10_11,fear
392,titus_1_5,neutral
393,leviticus_11_30,neutral
394,ezekiel_4_17,sadness
395,micah_6_9,fear
396,2_chronicles_34_15,neutral
397,isaiah_28_21,anger
398,psalms_143_6,sadness
399,psalms_58_1,neutral
400,ezekiel_37_7,surprise
401,mark_15_27,sadness
402,ezekiel_3_14,anger
403,proverbs_4_7,neutral
404,deuteronomy_11_32,neutral
405,daniel_4_4,joy
406,job_22_7,disgust
407,psalms_143_2,fear
408,psalms_62_7,joy
409,ecclesiastes_8_1,neutral
410,galatians_1_16,joy
411,nehemiah_10_35,neutral
412,hosea_2_16,joy
413,job_34_4,neutral
414,amos_5_17,sadness
415,genesis_16_15,neutral
416,acts_7_1,neutral
417,psalms_119_68,joy
418,proverbs_24_2,anger
419,2_kings_16_12,neutral
420,genesis_5_17,neutral
421,jeremiah_36_12,neutral
422,acts_27_7,neutral
423,1_chronicles_1_15,neutral
424,genesis_24_64,surprise
425,1_john_2_25,joy
426,daniel_9_8,sadness
427,1_kings_21_13,anger
428,2_kings_9_30,neutral
429,exodus_27_3,neutral
430,2_chronicles_22_3,disgust
431,john_19_10,anger
432,2_samuel_6_14,joy
433,psalms_18_12,surprise
434,2_chronicles_25_27,sadness
435,philippians_1_30,sadness
436,mark_10_45,joy
437,psalms_95_6,joy
438,genesis_35_22,disgust
439,job_29_2,sadness
440,isaiah_26_9,joy
441,numbers_36_9,neutral
442,isaiah_21_9,anger
443,2_samuel_14_12,neutral
444,leviticus_10_15,neutral
445,2_kings_22_20,joy
446,amos_8_14,sadness
447,2_kings_14_5,anger
448,exodus_26_17,neutral
449,leviticus_19_33,joy
450,2_kings_4_15,neutral
451,colossians_3_2,joy
452,leviticus_14_32,neutral
453,psalms_105_44,joy
454,psalms_43_4,joy
455,isaiah_58_2,joy
456,acts_19_3,neutral
457,1_chronicles_17_10,joy
458,psalms_24_9,joy
459,2_samuel_19_23,joy
460,ezra_8_10,neutral
461,1_john_2_23,neutral
462,romans_4_11,joy
463,ezekiel_15_2,neutral
464,isaiah_13_10,fear
465,mark_12_38,disgust
466,judges_21_1,sadness
467,matthew_21_16,joy
468,exodus_16_2,anger
469,mark_6_52,disgust
470,deuteronomy_9_7,anger
471,1_chronicles_25_23,neutral
472,leviticus_13_52,disgust
473,john_2_20,surprise
474,exodus_37_7,neutral
475,1_samuel_4_14,surprise
476,deuteronomy_32_11,joy
477,deuteronomy_1_14,joy
478,galatians_4_17,anger
479,2_samuel_5_16,neutral
480,judges_9_46,fear
481,proverbs_2_2,neutral
482,psalms_78_58,anger
483,2_samuel_19_41,anger
484,acts_23_27,surprise
485,john_19_32,sadness
486,2_kings_6_33,sadness
487,isaiah_30_16,fear
488,genesis_31_43,neutral
489,psalms_147_7,joy
490,2_kings_18_31,neutral
491,jeremiah_49_10,sadness
492,proverbs_29_2,sadness
493,judges_9_56,anger
494,romans_11_18,neutral
495,exodus_28_39,neutral
496,numbers_6_13,neutral
497,numbers_15_22,neutral
498,numbers_19_14,disgust
499,ecclesiastes_5_9,neutral
500,1_kings_12_6,neutral
501,acts_23_34,neutral
502,numbers_26_34,neutral
503,acts_6_5,joy
504,ezekiel_3_27,anger
505,psalms_104_31,joy
506,1_chronicles_2_19,neutral
507,proverbs_19_9,anger
508,1_peter_3_3,neutral
509,1_samuel_20_38,neutral
510,numbers_19_13,fear
511,revelation_9_14,surprise
512,isaiah_22_15,neutral
513,2_kings_21_3,disgust
514,hebrews_11_40,joy
515,1_chronicles_10_12,sadness
516,isaiah_57_14,joy
517,proverbs_3_18,joy
518,numbers_33_56,anger
519,ezra_5_2,joy
520,revelation_9_10,fear
521,psalms_91_6,fear
522,ezra_9_5,sadness
523,jeremiah_20_15,sadness
524,matthew_13_22,sadness
525,psalms_47_9,joy
526,deuteronomy_28_55,fear
527,job_27_12,anger
528,luke_15_12,neutral
529,exodus_5_19,sadness
530,matthew_9_29,joy
531,psalms_137_8,anger
532,ezra_2_14,neutral
533,numbers_24_12,neutral
534,hosea_13_16,anger
535,jeremiah_23_14,disgust
536,deuteronomy_19_19,anger
537,luke_5_38,neutral
538,genesis_45_7,joy
539,1_chronicles_12_18,joy
540,1_chronicles_29_17,joy
541,isaiah_24_9,sadness
542,job_30_14,fear
543,2_kings_14_16,neutral
544,hebrews_11_28,fear
545,exodus_40_2,neutral
546,genesis_32_20,fear
547,job_32_13,anger
548,1_kings_18_3,fear
549,jeremiah_51_51,sadness
550,mark_8_23,surprise
551,job_33_5,neutral
552,isaiah_22_22,neutral
553,deuteronomy_6_21,joy
554,1_chronicles_21_21,neutral
555,psalms_106_47,joy
556,genesis_29_17,neutral
557,1_thessalonians_1_7,joy
558,psalms_115_13,joy
559,psalms_112_10,anger
560,job_13_6,neutral
561,numbers_33_37,neutral
562,psalms_92_12,joy
563,numbers_10_29,joy
564,exodus_9_23,fear
565,isaiah_22_17,sadness
566,revelation_9_16,fear
567,1_samuel_26_17,surprise
568,exodus_25_7,neutral
569,hosea_14_8,joy
570,ezekiel_8_16,disgust
571,isaiah_34_2,anger
572,ezekiel_3_25,sadness
573,ezekiel_17_4,neutral
574,matthew_26_73,fear
575,daniel_11_12,anger
576,exodus_39_40,neutral
577,numbers_35_6,neutral
578,1_timothy_1_19,sadness
579,exodus_16_33,neutral
580,numbers_26_45,neutral
581,job_13_26,sadness
582,matthew_5_9,joy
583,1_peter_3_5,neutral
584,ezekiel_34_20,anger
585,isaiah_25_5,anger
586,2_kings_17_35,fear
587,numbers_24_7,joy
588,ezekiel_12_3,sadness
589,2_kings_2_10,neutral
590,ezekiel_8_3,surprise
591,isaiah_30_10,disgust
592,isaiah_65_12,anger
593,genesis_5_9,neutral
594,acts_10_8,neutral
595,acts_19_21,neutral
596,romans_14_11,joy
597,ezekiel_35_12,anger
598,ezekiel_33_27,fear
599,acts_8_13,surprise
600,1_chronicles_17_14,joy
601,joshua_7_24,sadness
602,isaiah_38_12,sadness
603,jeremiah_6_21,anger
604,proverbs_2_14,disgust
605,1_kings_17_2,neutral
606,micah_5_2,joy
607,luke_20_35,joy
608,daniel_11_23,disgust
609,2_chronicles_4_20,neutral
610,numbers_26_28,neutral
611,2_chronicles_17_3,joy
612,esther_6_1,surprise
613,exodus_25_6,neutral
614,1_corinthians_8_10,disgust
615,joshua_12_8,neutral
616,genesis_15_3,sadness
617,ezekiel_39_1,anger
618,psalms_1_3,joy
619,john_1_33,surprise
620,leviticus_25_7,neutral
621,1_john_3_12,anger
622,philippians_2_15,joy
623,2_kings_11_2,fear
624,luke_6_33,neutral
625,daniel_10_10,surprise
626,jeremiah_16_8,sadness
627,psalms_133_3,joy
628,jeremiah_31_25,joy
629,judges_5_1,joy
630,2_timothy_3_2,disgust
631,isaiah_65_9,joy
632,2_kings_1_1,anger
633,matthew_27_1,anger
634,job_38_38,neutral
