book,chapter,verse,subtitle,text,source_url
rut,1,1,Rut y Noemí,"Aconteció en los días que gobernaban los jueces, que hubo hambre en la tierra. Y un varón de Belén de Judá fue a morar en los campos de Moab, él y su mujer, y dos hijos suyos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,2,Rut y Noemí,"El nombre de aquel varón era Elimelec, y el de su mujer, Noemí; y los nombres de sus hijos eran Mahlón y Quelión, efrateos de Belén de Judá. Llegaron, pues, a los campos de Moab, y se quedaron allí. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,3,Rut y Noemí,"Y murió Elimelec, marido de Noemí, y quedó ella con sus dos hijos, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,4,Rut y Noemí,"los cuales tomaron para sí mujeres moabitas; el nombre de una era Orfa, y el nombre de la otra, Rut; y habitaron allí unos diez años. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,5,Rut y Noemí,"Y murieron también los dos, Mahlón y Quelión, quedando así la mujer desamparada de sus dos hijos y de su marido. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,6,Rut y Noemí,"Entonces se levantó con sus nueras, y regresó de los campos de Moab; porque oyó en el campo de Moab que Jehová había visitado a su pueblo para darles pan. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,7,Rut y Noemí,"Salió, pues, del lugar donde había estado, y con ella sus dos nueras, y comenzaron a caminar para volverse a la tierra de Judá. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,8,Rut y Noemí,"Y Noemí dijo a sus dos nueras: Andad, volveos cada una a la casa de su madre; Jehová haga con vosotras misericordia, como la habéis hecho con los muertos y conmigo. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,9,Rut y Noemí,"Os conceda Jehová que halléis descanso, cada una en casa de su marido. Luego las besó, y ellas alzaron su voz y lloraron, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,10,Rut y Noemí,y le dijeron: Ciertamente nosotras iremos contigo a tu pueblo. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,11,Rut y Noemí,"Y Noemí respondió: Volveos, hijas mías; ¿para qué habéis de ir conmigo? ¿Tengo yo más hijos en el vientre, que puedan ser vuestros maridos? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,12,Rut y Noemí,"Volveos, hijas mías, e idos; porque yo ya soy vieja para tener marido. Y aunque dijese: Esperanza tengo, y esta noche estuviese con marido, y aun diese a luz hijos, ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,13,Rut y Noemí,"¿habíais vosotras de esperarlos hasta que fuesen grandes? ¿Habíais de quedaros sin casar por amor a ellos? No, hijas mías; que mayor amargura tengo yo que vosotras, pues la mano de Jehová ha salido contra mí. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,14,Rut y Noemí,"Y ellas alzaron otra vez su voz y lloraron; y Orfa besó a su suegra, mas Rut se quedó con ella. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,15,Rut y Noemí,Y Noemí dijo: He aquí tu cuñada se ha vuelto a su pueblo y a sus dioses; vuélvete tú tras ella. ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,16,Rut y Noemí,"Respondió Rut: No me ruegues que te deje, y me aparte de ti; porque a dondequiera que tú fueres, iré yo, y dondequiera que vivieres, viviré. Tu pueblo será mi pueblo, y tu Dios mi Dios. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,17,Rut y Noemí,"Donde tú murieres, moriré yo, y allí seré sepultada; así me haga Jehová, y aun me añada, que sólo la muerte hará separación entre nosotras dos. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,18,Rut y Noemí,"Y viendo Noemí que estaba tan resuelta a ir con ella, no dijo más. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,19,Rut y Noemí,"Anduvieron, pues, ellas dos hasta que llegaron a Belén; y aconteció que habiendo entrado en Belén, toda la ciudad se conmovió por causa de ellas, y decían: ¿No es ésta Noemí? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,20,Rut y Noemí,"Y ella les respondía: No me llaméis Noemí, sino llamadme Mara; porque en grande amargura me ha puesto el Todopoderoso. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,21,Rut y Noemí,"Yo me fui llena, pero Jehová me ha vuelto con las manos vacías. ¿Por qué me llamaréis Noemí, ya que Jehová ha dado testimonio contra mí, y el Todopoderoso me ha afligido? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,1,22,Rut y Noemí,"Así volvió Noemí, y Rut la moabita su nuera con ella; volvió de los campos de Moab, y llegaron a Belén al comienzo de la siega de la cebada. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60
rut,2,1,Rut recoge espigas en el campo de Booz,"Tenía Noemí un pariente de su marido, hombre rico de la familia de Elimelec, el cual se llamaba Booz. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,2,Rut recoge espigas en el campo de Booz,"Y Rut la moabita dijo a Noemí: Te ruego que me dejes ir al campo, y recogeré espigas en pos de aquel a cuyos ojos hallare gracia. Y ella le respondió: Vé, hija mía. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,3,Rut recoge espigas en el campo de Booz,"Fue, pues, y llegando, espigó en el campo en pos de los segadores; y aconteció que aquella parte del campo era de Booz, el cual era de la familia de Elimelec. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,4,Rut recoge espigas en el campo de Booz,"Y he aquí que Booz vino de Belén, y dijo a los segadores: Jehová sea con vosotros. Y ellos respondieron: Jehová te bendiga. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,5,Rut recoge espigas en el campo de Booz,Y Booz dijo a su criado el mayordomo de los segadores: ¿De quién es esta joven? ,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,6,Rut recoge espigas en el campo de Booz,"Y el criado, mayordomo de los segadores, respondió y dijo: Es la joven moabita que volvió con Noemí de los campos de Moab; ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,7,Rut recoge espigas en el campo de Booz,"y ha dicho: Te ruego que me dejes recoger y juntar tras los segadores entre las gavillas. Entró, pues, y está desde por la mañana hasta ahora, sin descansar ni aun por un momento. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,8,Rut recoge espigas en el campo de Booz,"Entonces Booz dijo a Rut: Oye, hija mía, no vayas a espigar a otro campo, ni pases de aquí; y aquí estarás junto a mis criadas. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,9,Rut recoge espigas en el campo de Booz,"Mira bien el campo que sieguen, y síguelas; porque yo he mandado a los criados que no te molesten. Y cuando tengas sed, ve a las vasijas, y bebe del agua que sacan los criados. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,10,Rut recoge espigas en el campo de Booz,"Ella entonces bajando su rostro se inclinó a tierra, y le dijo: ¿Por qué he hallado gracia en tus ojos para que me reconozcas, siendo yo extranjera? ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,11,Rut recoge espigas en el campo de Booz,"Y respondiendo Booz, le dijo: He sabido todo lo que has hecho con tu suegra después de la muerte de tu marido, y que dejando a tu padre y a tu madre y la tierra donde naciste, has venido a un pueblo que no conociste antes. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,12,Rut recoge espigas en el campo de Booz,"Jehová recompense tu obra, y tu remuneración sea cumplida de parte de Jehová Dios de Israel, bajo cuyas alas has venido a refugiarte. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,13,Rut recoge espigas en el campo de Booz,"Y ella dijo: Señor mío, halle yo gracia delante de tus ojos; porque me has consolado, y porque has hablado al corazón de tu sierva, aunque no soy ni como una de tus criadas. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
rut,2,14,Rut recoge espigas en el campo de Booz,"Y Booz le dijo a la hora de comer: Ven aquí, y come del pan, y moja tu bocado en el vinagre. Y ella se sentó junto a los segadores, y él le dio del potaje, y comió hasta que se sació, y le sobró. ",https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=2&version=rv60
