"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","1-timoteo","1","1","Salutación","Pablo, apóstol de Jesucristo por mandato de Dios nuestro Salvador, y del Señor Jesucristo nuestra esperanza,","1-timoteo_1_1","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"2","1-timoteo","1","2","Salutación","a Timoteo, verdadero hijo en la fe: Gracia, misericordia y paz, de Dios nuestro Padre y de Cristo Jesús nuestro Señor.","1-timoteo_1_2","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"3","1-timoteo","1","3","Advertencia contra falsas doctrinas","Como te rogué que te quedases en Efeso, cuando fui a Macedonia, para que mandases a algunos que no enseñen diferente doctrina,","1-timoteo_1_3","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"4","1-timoteo","1","4","Advertencia contra falsas doctrinas","ni presten atención a fábulas y genealogías interminables, que acarrean disputas más bien que edificación de Dios que es por fe, así te encargo ahora.","1-timoteo_1_4","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"5","1-timoteo","1","5","Advertencia contra falsas doctrinas","Pues el propósito de este mandamiento es el amor nacido de corazón limpio, y de buena conciencia, y de fe no fingida,","1-timoteo_1_5","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"6","1-timoteo","1","6","Advertencia contra falsas doctrinas","de las cuales cosas desviándose algunos, se apartaron a vana palabrería,","1-timoteo_1_6","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"7","1-timoteo","1","7","Advertencia contra falsas doctrinas","queriendo ser doctores de la ley, sin entender ni lo que hablan ni lo que afirman.","1-timoteo_1_7","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"8","1-timoteo","1","8","Advertencia contra falsas doctrinas","Pero sabemos que la ley es buena, si uno la usa legítimamente;","1-timoteo_1_8","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"9","1-timoteo","1","9","Advertencia contra falsas doctrinas","conociendo esto, que la ley no fue dada para el justo, sino para los transgresores y desobedientes, para los impíos y pecadores, para los irreverentes y profanos, para los parricidas y matricidas, para los homicidas,","1-timoteo_1_9","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"10","1-timoteo","1","10","Advertencia contra falsas doctrinas","para los fornicarios, para los sodomitas, para los secuestradores, para los mentirosos y perjuros, y para cuanto se oponga a la sana doctrina,","1-timoteo_1_10","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"11","1-timoteo","1","11","Advertencia contra falsas doctrinas","según el glorioso evangelio del Dios bendito, que a mí me ha sido encomendado.","1-timoteo_1_11","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"12","1-timoteo","1","12","El ministerio de Pablo","Doy gracias al que me fortaleció, a Cristo Jesús nuestro Señor, porque me tuvo por fiel, poniéndome en el ministerio,","1-timoteo_1_12","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"13","1-timoteo","1","13","El ministerio de Pablo","habiendo yo sido antes blasfemo, perseguidor e injuriador; mas fui recibido a misericordia porque lo hice por ignorancia, en incredulidad.","1-timoteo_1_13","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"14","1-timoteo","1","14","El ministerio de Pablo","Pero la gracia de nuestro Señor fue más abundante con la fe y el amor que es en Cristo Jesús.","1-timoteo_1_14","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"15","1-timoteo","1","15","El ministerio de Pablo","Palabra fiel y digna de ser recibida por todos: que Cristo Jesús vino al mundo para salvar a los pecadores, de los cuales yo soy el primero.","1-timoteo_1_15","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"16","1-timoteo","1","16","El ministerio de Pablo","Pero por esto fui recibido a misericordia, para que Jesucristo mostrase en mí el primero toda su clemencia, para ejemplo de los que habrían de creer en él para vida eterna.","1-timoteo_1_16","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"17","1-timoteo","1","17","El ministerio de Pablo","Por tanto, al Rey de los siglos, inmortal, invisible, al único y sabio Dios, sea honor y gloria por los siglos de los siglos. Amén.","1-timoteo_1_17","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"18","1-timoteo","1","18","El ministerio de Pablo","Este mandamiento, hijo Timoteo, te encargo, para que conforme a las profecías que se hicieron antes en cuanto a ti, milites por ellas la buena milicia,","1-timoteo_1_18","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"19","1-timoteo","1","19","El ministerio de Pablo","manteniendo la fe y buena conciencia, desechando la cual naufragaron en cuanto a la fe algunos,","1-timoteo_1_19","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
"20","1-timoteo","1","20","El ministerio de Pablo","de los cuales son Himeneo y Alejandro, a quienes entregué a Satanás para que aprendan a no blasfemar.","1-timoteo_1_20","https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-timoteo&capitulo=1&version=rv60","",""
