id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,rut,1,1,Rut y Noemí,"Aconteció en los días que gobernaban los jueces, que hubo hambre en la tierra. Y un varón de Belén de Judá fue a morar en los campos de Moab, él y su mujer, y dos hijos suyos.",rut_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60,fe;miedo;perdón,disgust
2,rut,1,2,Rut y Noemí,"El nombre de aquel varón era Elimelec, y el de su mujer, Noemí; y los nombres de sus hijos eran Mahlón y Quelión, efrateos de Belén de Judá. Llegaron, pues, a los campos de Moab, y se quedaron allí.",rut_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60,fe;amor;perdón,Neutral
3,rut,1,3,Rut y Noemí,"Y murió Elimelec, marido de Noemí, y quedó ella con sus dos hijos,",rut_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60,perdón;fe,Tristeza
4,rut,1,4,Rut y Noemí,"los cuales tomaron para sí mujeres moabitas; el nombre de una era Orfa, y el nombre de la otra, Rut; y habitaron allí unos diez años.",rut_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60,perdón;fe,Neutral
5,rut,1,5,Rut y Noemí,"Y murieron también los dos, Mahlón y Quelión, quedando así la mujer desamparada de sus dos hijos y de su marido.",rut_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60,fe;miedo,Tristeza
6,rut,1,6,Rut y Noemí,"Entonces se levantó con sus nueras, y regresó de los campos de Moab; porque oyó en el campo de Moab que Jehová había visitado a su pueblo para darles pan.",rut_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60,fe;miedo;esperanza;amor;perdón,disgust
7,rut,1,7,Rut y Noemí,"Salió, pues, del lugar donde había estado, y con ella sus dos nueras, y comenzaron a caminar para volverse a la tierra de Judá.",rut_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60,fe;perdón;amor;esperanza;miedo,Neutral
8,rut,1,8,Rut y Noemí,"Y Noemí dijo a sus dos nueras: Andad, volveos cada una a la casa de su madre; Jehová haga con vosotras misericordia, como la habéis hecho con los muertos y conmigo.",rut_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60,perdón;fe;amor;esperanza,disgust
9,rut,1,9,Rut y Noemí,"Os conceda Jehová que halléis descanso, cada una en casa de su marido. Luego las besó, y ellas alzaron su voz y lloraron,",rut_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60,amor;esperanza;fe;perdón,disgust
10,rut,1,10,Rut y Noemí,y le dijeron: Ciertamente nosotras iremos contigo a tu pueblo.,rut_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60,esperanza;fe;perdón;amor,Neutral
11,rut,1,11,Rut y Noemí,"Y Noemí respondió: Volveos, hijas mías; ¿para qué habéis de ir conmigo? ¿Tengo yo más hijos en el vientre, que puedan ser vuestros maridos?",rut_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=rut&capitulo=1&version=rv60,miedo;amor;fe;perdón,Miedo
