id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,1_john,1,1,,"That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked upon, and our hands have handled, of the Word of life;",1_john_1_1,https://github.com/seven1m/open-bibles,,disgust
2,1_john,1,2,,"(For the life was manifested, and we have seen it, and bear witness, and shew unto you that eternal life, which was with the Father, and was manifested unto us;)",1_john_1_2,https://github.com/seven1m/open-bibles,,neutral
3,1_john,1,3,,"That which we have seen and heard declare we unto you, that ye also may have fellowship with us: and truly our fellowship is with the Father, and with his Son Jesus Christ.",1_john_1_3,https://github.com/seven1m/open-bibles,,neutral
4,1_john,1,4,,"And these things write we unto you, that your joy may be full.",1_john_1_4,https://github.com/seven1m/open-bibles,,joy
5,1_john,1,5,,"This then is the message which we have heard of him, and declare unto you, that God is light, and in him is no darkness at all.",1_john_1_5,https://github.com/seven1m/open-bibles,,neutral
6,1_john,1,6,,"If we say that we have fellowship with him, and walk in darkness, we lie, and do not the truth:",1_john_1_6,https://github.com/seven1m/open-bibles,,disgust
7,1_john,1,7,,"But if we walk in the light, as he is in the light, we have fellowship one with another, and the blood of Jesus Christ his Son cleanseth us from all sin.",1_john_1_7,https://github.com/seven1m/open-bibles,,neutral
8,1_john,1,8,,"If we say that we have no sin, we deceive ourselves, and the truth is not in us.",1_john_1_8,https://github.com/seven1m/open-bibles,,neutral
9,1_john,1,9,,"If we confess our sins, he is faithful and just to forgive us our sins, and to cleanse us from all unrighteousness.",1_john_1_9,https://github.com/seven1m/open-bibles,,disgust
10,1_john,1,10,,"If we say that we have not sinned, we make him a liar, and his word is not in us.",1_john_1_10,https://github.com/seven1m/open-bibles,,disgust
11,1_john,2,1,,"My little children, these things write I unto you, that ye sin not. And if any man sin, we have an advocate with the Father, Jesus Christ the righteous:",1_john_2_1,https://github.com/seven1m/open-bibles,,disgust
12,1_john,2,2,,"And he is the propitiation for our sins: and not for ours only, but also for the sins of the whole world.",1_john_2_2,https://github.com/seven1m/open-bibles,,disgust
13,1_john,2,3,,"And hereby we do know that we know him, if we keep his commandments.",1_john_2_3,https://github.com/seven1m/open-bibles,,neutral
14,1_john,2,4,,"He that saith, I know him, and keepeth not his commandments, is a liar, and the truth is not in him.",1_john_2_4,https://github.com/seven1m/open-bibles,,disgust
15,1_john,2,5,,"But whoso keepeth his word, in him verily is the love of God perfected: hereby know we that we are in him.",1_john_2_5,https://github.com/seven1m/open-bibles,,neutral
16,1_john,2,6,,"He that saith he abideth in him ought himself also so to walk, even as he walked.",1_john_2_6,https://github.com/seven1m/open-bibles,,disgust
17,1_john,2,7,,"Brethren, I write no new commandment unto you, but an old commandment which ye had from the beginning. The old commandment is the word which ye have heard from the beginning.",1_john_2_7,https://github.com/seven1m/open-bibles,,neutral
18,1_john,2,8,,"Again, a new commandment I write unto you, which thing is true in him and in you: because the darkness is past, and the true light now shineth.",1_john_2_8,https://github.com/seven1m/open-bibles,,neutral
19,1_john,2,9,,"He that saith he is in the light, and hateth his brother, is in darkness even until now.",1_john_2_9,https://github.com/seven1m/open-bibles,,neutral
20,1_john,2,10,,"He that loveth his brother abideth in the light, and there is none occasion of stumbling in him.",1_john_2_10,https://github.com/seven1m/open-bibles,,neutral
21,1_john,2,11,,"But he that hateth his brother is in darkness, and walketh in darkness, and knoweth not whither he goeth, because that darkness hath blinded his eyes.",1_john_2_11,https://github.com/seven1m/open-bibles,,sadness
